,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","79.851","172.936","358.416**","413.058**","611.546***"
"","(67.483)","(100.21)","(129.219)","(146.971)","(173.698)"
"log(population)","-13.156**","-11.647","-14.077","-18.2","-7.636"
"","(4.664)","(6.926)","(8.931)","(10.158)","(12.005)"
"unemployment","118.004","-142.974","-384.077","-229.578","-871.627"
"","(169.506)","(251.71)","(324.576)","(369.166)","(436.299)"
"avg_commute","0.968","2.181","4.33","5.792*","3.346"
"","(1.325)","(1.968)","(2.537)","(2.886)","(3.411)"
"female_wage_p75","-0.391","-1.264","-0.986","-0.378","0.395"
"","(1.118)","(1.661)","(2.142)","(2.436)","(2.879)"
"male_wage_p75","0.355","0.558","0.109","0.037","-0.165"
"","(0.821)","(1.219)","(1.572)","(1.788)","(2.113)"
"female_epop","340.876***","262.374*","429.565*","492.136*","139.542"
"","(88.157)","(130.911)","(168.807)","(191.998)","(226.913)"
"male_epop","-50.733","-170.372","-622.287*","-707.249*","-735.318*"
"","(126.351)","(187.627)","(241.942)","(275.18)","(325.221)"
"relative_sex_crime","-1234.717*","-0.947","124.378","-388.293","915.275"
"","(573.666)","(851.876)","(1098.478)","(1249.387)","(1476.589)"
"crime_rate","179.611","161.811","191.444","162.168","-523.163"
"","(180.369)","(267.842)","(345.378)","(392.826)","(464.261)"
"le_per_capita","-255.123","83.472","351.578","80.071","205.931"
"","(428.237)","(635.919)","(820.005)","(932.658)","(1102.262)"
"R2","0.402","0.157","0.185","0.191","0.125"
"N","73","73","73","73","73"
