,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","94.283","158.942*","199.235*","296.846**","465.01***"
"","(55.207)","(68.934)","(80.856)","(93.095)","(110.804)"
"avg_commute","-0.461","1.131","1.118","-0.935","-0.375"
"","(1.427)","(1.782)","(2.09)","(2.406)","(2.864)"
"female_wage_p50","-1.539","-5.538","-1.754","-1.014","-2.649"
"","(2.732)","(3.411)","(4.001)","(4.606)","(5.483)"
"male_wage_p50","1.59","5.333*","2.649","3.412","5.075"
"","(1.978)","(2.469)","(2.897)","(3.335)","(3.969)"
"female_epop","47.502","89.396","-126.15","-202.227","-481.285"
"","(130.31)","(162.711)","(190.851)","(219.739)","(261.54)"
"male_epop","-14.426","-203.099","-43.7","-9.838","-18.818"
"","(147.929)","(184.71)","(216.655)","(249.449)","(296.902)"
"relative_sex_crime","708.848","440.096","1661.192","1017.457","1266.496"
"","(836.271)","(1044.206)","(1224.797)","(1410.184)","(1678.446)"
"crime_rate","191.212","-12.145","-122.362","-308.794","-470.959"
"","(233.983)","(292.162)","(342.69)","(394.56)","(469.618)"
"le_per_capita","-801.843","-353.543","-277.977","734.243","889.327"
"","(593.168)","(740.656)","(868.75)","(1000.244)","(1190.523)"
"R2","0.102","0.084","0.064","0.062","0.128"
"N","81","81","81","81","81"
