,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","109.791","109.766","-23.911","94.037","113.972"
"","(68.556)","(93.768)","(116.276)","(141.064)","(169.14)"
"log(population)","-7.574","-6.362","9.19","3.859","18.092"
"","(5.475)","(7.489)","(9.286)","(11.266)","(13.508)"
"unemployment","294.628","254.355","599.807","964.506*","407.861"
"","(201.118)","(275.081)","(341.111)","(413.829)","(496.192)"
"lt_highschool","-109.67","-198.816","-47.416","-148.232","-38.183"
"","(156.679)","(214.3)","(265.74)","(322.391)","(386.554)"
"highschool","33.635","90.024","173.402","-7.576","-38.264"
"","(115.053)","(157.366)","(195.139)","(236.739)","(283.857)"
"college_plus","46.32","85.174","294.424","433.006*","182.166"
"","(99.905)","(136.646)","(169.447)","(205.57)","(246.483)"
"avg_commute","1.624","2.68","-1.676","-1.619","-3.065"
"","(1.924)","(2.632)","(3.263)","(3.959)","(4.747)"
"male_p25","14.414","18.609","35.828*","45.018*","28.891"
"","(8.922)","(12.203)","(15.133)","(18.359)","(22.012)"
"male_p50","-11.326","-18.48","-30.955*","-47.732**","-21.596"
"","(8.265)","(11.304)","(14.018)","(17.006)","(20.39)"
"male_p75","0.213","0.862","-1.306","5.736","-3.404"
"","(2.807)","(3.839)","(4.76)","(5.775)","(6.924)"
"female_violence_share","-19.929","16.082","-18.769","-80.513","-71.181"
"","(50.675)","(69.312)","(85.949)","(104.272)","(125.025)"
"violence_per_capita","-35.254","-68.079","-30.665","21.464","-92.561"
"","(35.685)","(48.809)","(60.524)","(73.427)","(88.041)"
"R2","0.231","0.229","0.274","0.347","0.193"
"N","57","57","57","57","57"
