,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","28.702","56.592","172.51*","241.943**","310.987**"
"","(37.504)","(54.013)","(70.679)","(79.767)","(94.429)"
"avg_commute","-1.211","-0.064","0.478","1.766","0.681"
"","(1.006)","(1.449)","(1.896)","(2.139)","(2.532)"
"female_wage_p25","-1.575","-4.483","-1.309","1.752","-5.379"
"","(2.817)","(4.057)","(5.309)","(5.991)","(7.093)"
"male_wage_p25","3.063","3.231","1.269","-1.67","5.552"
"","(2.452)","(3.531)","(4.621)","(5.215)","(6.173)"
"female_epop","249.56*","231.767","369.587","433.969*","129.256"
"","(99.014)","(142.597)","(186.598)","(210.589)","(249.299)"
"male_epop","-143.123","-162.871","-512.667*","-655.246**","-399.18"
"","(105.023)","(151.251)","(197.923)","(223.371)","(264.43)"
"relative_sex_crime","-1092.229","332.109","343.298","-318.932","1363.457"
"","(612.049)","(881.456)","(1153.449)","(1301.749)","(1541.032)"
"crime_rate","374.41*","370.108","397.528","349.811","-315.854"
"","(183.357)","(264.065)","(345.549)","(389.976)","(461.66)"
"le_per_capita","-657.157","-283.416","-151.377","-666.728","77.24"
"","(410.324)","(590.937)","(773.285)","(872.707)","(1033.124)"
"R2","0.338","0.122","0.125","0.146","0.072"
"N","73","73","73","73","73"
