,"(1)","(2)","(3)","(4)","(5)"
,"p10","p25","p50","p75","p90"
"(Intercept)","-48.923","-15.548","72.381","132.35*","116.365"
"","(44.963)","(32.83)","(49.178)","(59.424)","(72.622)"
"log(population)","-2.71","-1.405","-5.021","-6.557","-3.9"
"","(2.961)","(2.162)","(3.239)","(3.914)","(4.783)"
"unemployment","172.827","83.549","-145.111","-273.135","-258.074"
"","(132.572)","(96.797)","(145)","(175.209)","(214.122)"
"avg_commute","-0.186","-0.356","0.789","1.556","1.889"
"","(0.975)","(0.712)","(1.067)","(1.289)","(1.575)"
"female_wage_p25","0.376","1.117","1.113","3.542","4.282"
"","(2.131)","(1.556)","(2.33)","(2.816)","(3.441)"
"male_wage_p25","2.645","1.385","1.593","-0.727","-3.277"
"","(1.793)","(1.309)","(1.961)","(2.369)","(2.896)"
"female_epop","-108.263","-54.082","-79.374","52.612","185.679"
"","(79.096)","(57.752)","(86.511)","(104.535)","(127.752)"
"male_epop","172.083","101.727","60.236","-94.114","-162.849"
"","(91.027)","(66.463)","(99.56)","(120.302)","(147.021)"
"R2","0.097","0.094","0.085","0.102","0.096"
"N","99","99","99","99","99"
