MSA,Obs.,Ads/100k Pop.,Mean,Std.,10%,50%,90%
"Detroit-Warren-Dearborn, MI MSA",37537.0,4.16188021141,120.437280315,69.3787063113,65.0,104.666666667,190.0
"Augusta-Richmond County, GA-SC MSA",7446.0,34.1486078018,127.836337764,70.3453495028,66.6666666667,117.460531287,200.0
"Canton-Massillon, OH MSA",8244.0,46.2749403648,128.491164161,72.2243286248,49.0,125.0,200.0
"Oklahoma City, OK MSA",9178.0,15.6685093748,128.857037673,71.986242104,62.3857239882,120.0,200.0
"Montgomery, AL MSA",2857.0,53.7391202566,130.674194381,67.6197661997,70.0,125.0,200.0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",25543.0,3.30526359378,132.84601373,79.4459292603,61.7333333333,120.0,210.0
"Grand Rapids-Wyoming, MI MSA",7510.0,20.9627610563,133.177678756,70.6711903626,75.0,125.0,200.0
"Lansing-East Lansing, MI MSA",3627.0,45.8872670869,133.460363086,106.147299541,22.0,130.0,200.0
"Memphis, TN-MS-AR MSA",9893.0,15.8144909664,134.654064783,98.1016826939,62.5,124.771447976,200.0
"Indianapolis-Carmel-Anderson, IN MSA",13737.0,10.793359404,134.920446425,78.0370811664,65.0,125.0,200.0
"Birmingham-Hoover, AL MSA",4408.0,17.7344412513,135.109131295,75.811895457,60.0,130.0,187.5
"Jacksonville, FL MSA",12495.0,14.8613140214,135.624054533,94.3569304677,75.0,116.973232478,200.0
"Charlotte-Concord-Gastonia, NC-SC MSA",13950.0,9.18260601605,136.722116625,81.0530055727,70.0,125.0,200.0
"Orlando-Kissimmee-Sanford, FL MSA",15584.0,9.51749702194,137.397251908,78.8115444109,50.0,130.0,225.0
"Atlanta-Sandy Springs-Roswell, GA MSA",62372.0,4.01741230253,139.459245447,87.2864509889,70.0,124.771447976,225.0
"Cleveland-Elyria, OH MSA",19136.0,9.83580008042,139.983795251,80.5085294504,70.0,126.666666667,200.0
"Mobile, AL MSA",3408.0,52.0101651841,140.374395629,92.0452950943,71.6666666667,124.0,208.333333333
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",26037.0,12.8642077866,140.89137652,81.4781520796,76.4449584595,125.0,202.753602962
"Riverside-San Bernardino-Ontario, CA MSA",8763.0,5.4053033919,141.077769892,103.701406151,50.0,125.0,206.666666667
"Baton Rouge, LA MSA",3795.0,27.3937998442,141.126282285,74.6705330795,80.0,128.820438645,216.950170336
"Salt Lake City, UT MSA",9801.0,21.2883117969,142.805614547,92.7337626719,60.0,125.0,233.333333333
"Tampa-St. Petersburg-Clearwater, FL MSA",21556.0,7.21916615259,143.506194364,94.0787713593,60.0,125.0,233.946464956
"Houston-The Woodlands-Sugar Land, TX MSA",13265.0,3.77253630847,143.520220974,108.151560342,30.0,125.0,250.0
"Dallas-Fort Worth-Arlington, TX MSA",54009.0,3.45901372972,143.705348024,83.2114565454,67.5,130.0,220.0
"Columbus, OH MSA",12172.0,11.5813649283,145.875629854,100.430880343,70.0,121.304819518,250.0
"New York-Newark-Jersey City, NY-NJ-PA MSA",165144.0,1.09279814314,146.460435234,94.9542109783,60.0,132.5,233.946464956
"Milwaukee-Waukesha-West Allis, WI MSA",12538.0,14.341733649,148.081841942,103.94906664,62.0485164889,125.0,223.333333333
"Des Moines-West Des Moines, IA MSA",6328.0,38.96386016,148.299568878,73.6135150369,50.0,148.333333333,225.0
"San Antonio-New Braunfels, TX MSA",8131.0,10.8042146497,149.400788218,75.4857947156,80.0,140.0,225.0
"Kansas City, MO-KS MSA",10926.0,11.2105440893,150.614892999,86.8698038393,77.9821549853,150.0,225.0
"Albuquerque, NM MSA",4974.0,25.6878014312,151.524634302,79.0202002164,87.5,140.0,225.0
"Muskegon, MI MSA",2435.0,133.502681124,151.701766615,51.4655924174,90.0,150.0,200.0
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",21628.0,6.75600155543,151.948285143,92.3773158262,60.0,148.333333333,233.946464956
"Chicago-Naperville-Elgin, IL-IN-WI MSA",43557.0,2.44163086998,152.615919919,88.727628217,76.6666666667,140.0,233.946464956
"Fort Wayne, IN MSA",1653.0,56.5304367081,152.739586942,65.8413771436,83.3333333333,160.0,216.666666667
